"All Payment Methods","All Payment Methods"
"All Credit Cards","All Credit Cards"
"As Specified","As Specified"
"Redirect","Redirect"
"Iframe","Iframe"
"Used as payment language","Used as payment language"
"Country Code","Country Code"
"Country","Country"
"Order ID","Order ID"
"Amount","Amount"
"Payment Information","Payment Information"
"Name","Name"
"Street","Street"
"Zip Code","Zip Code"
"City","City"
"Customer Information","Customer Information"
"Autocapture","Autocapture"
"Autofee","Autofee"
"No","No"
"Yes","Yes"
"Capture payment immediately.","Capture payment immediately."
"Charge transaction fee.","Charge transaction fee."
"Send Payment Link","Send Payment Link"
"Edit Payment","Edit Payment"
"Cancel","Cancel"
"Update & Pay Now","Update & Pay Now"
"Update Payment and Send Link","Update Payment and Send Link"
"No payment id specified.","No payment id specified."
"Payment not found.","Payment not found."
"Cannot modify a payment that has been processed.","Cannot modify a payment that has been processed."
"Could not create payment object.","Could not create payment object."
"Could not cancel payment.","Could not cancel payment."
"Payment cancelled.","Payment cancelled."
"Are you sure you want to do this?","Are you sure you want to do this?"
"Payment link","Payment link"
"Could not send email. The sales contact is empty.","Could not send email. The sales contact is empty."
"Could not send email.","Could not send email."
"ID","ID"
"Customer Name","Customer Name"
"Customer Email","Customer Email"
"State","State"
"Created At","Created At"
"Updated At","Updated At"
"Error","Error"
"Link","Link"
"Get Payment Status","Get Payment Status"
"Payment not loaded.","Payment not loaded."
"Payment updated successfully.","Payment updated successfully."
"Transaction Log","Transaction Log"
"Error during operations rendering.","Error during operations rendering."
"Type","Type"
"Result","Result"
"Captured","Captured"
"Capture","Capture"
"Refund","Refund",
"Cancel","Cancel"
"Time","Time"
"Trying to capture more than authorized.","Trying to capture more than authorized."
"Trying to refund more than captured.","Trying to refund more than captured."
"Payment link:","Payment link:"
"Error with the link.","Error with the link."
"There was a problem with the payment. Please try again.","There was a problem with the payment. Please try again."
"Which Card logos to show","Which Card logos to show"
"Success.","Success."
"Are you sure?","Are you sure?"
"No payments found.","No payments found."
"Cancelled","Cancelled",
"Refunded","Refunded"
